,Axis1,Axis2,Kernel
209,37.03107,-7.0086536,12
210,26.980417,22.464104,14
211,8.76549,-11.972742,8
212,1.9625913,-49.464603,4
213,2.4827092,46.213497,14
214,37.130993,4.7471123,12
215,26.048555,19.546587,14
216,10.520316,10.88232,5
217,-22.252504,40.759365,14
218,7.042158,-8.688843,3
219,-30.938602,16.79581,3
220,-36.841152,11.437149,3
221,-19.951809,-32.264862,9
222,20.433083,-11.130308,8
223,-24.59485,35.534836,11
224,43.99832,-31.288052,9
225,-16.446308,-44.053303,8
226,-0.5309301,-53.405468,8
227,-37.37203,-6.564539,10
228,-4.310724,-1.4838438,5
229,12.316562,22.159246,14
230,26.587246,4.0175033,12
231,15.195139,-13.049624,8
232,25.877043,-27.90224,5
233,-19.719692,27.6536,3
234,45.344173,1.2814624,12
235,26.274515,1.0955502,8
236,9.132402,31.106304,14
237,-16.952589,10.17597,5
238,2.3799539,5.602345,6
239,-8.992342,-22.291021,13
240,1.5148001,-40.312237,4
241,-6.367724,-50.342728,4
242,45.140476,0.007982494,12
243,-27.638906,5.4031606,3
244,-3.7513604,64.70546,14
245,-0.13965048,8.371723,6
246,-13.672221,-6.4252415,7
247,-32.722862,-2.7107275,3
248,22.845797,13.712742,13
249,-1.5675459,39.739082,14
250,-3.5025475,5.4954605,6
251,3.8810596,-40.71809,4
252,-23.671877,-42.16854,0
253,-13.7220745,31.363008,3
254,26.586964,4.0395913,8
255,-37.039963,10.390132,3
256,-3.5733917,-44.122505,9
257,10.919527,-47.74768,4
258,-17.487402,-32.169746,9
259,-45.701637,18.294949,3
260,-6.8194723,-32.280937,0
261,-1.8724481,-2.8464427,5
262,7.604976,15.1748295,5
263,-16.860933,-43.24295,8
264,33.897552,4.475428,12
265,-10.913643,-1.694061,7
266,17.377455,7.0481777,1
267,47.75428,1.8509821,5
268,10.402466,16.261969,5
269,-39.39809,5.3780785,3
270,22.858004,8.41147,5
271,-3.4168494,-54.25633,4
272,-8.574958,-28.805517,5
273,45.308506,-49.58107,0
274,-1.2299042,39.63458,14
275,30.79739,-39.27049,0
276,38.844765,-46.09747,0
277,-5.565636,46.878986,14
278,31.46961,23.877144,13
279,-8.613591,14.5302925,11
280,35.120842,-27.37791,0
281,-3.0073128,63.567883,13
282,33.135017,-40.54659,0
283,-22.417458,50.014835,14
284,14.007965,1.7190508,8
285,23.564678,7.4779453,13
286,17.019867,-39.254337,0
287,13.655075,33.34779,14
288,-6.9699454,48.263824,3
289,-22.496164,50.960762,14
290,39.391327,-37.70955,0
291,-0.37979525,-35.471416,8
292,-53.53061,25.369411,10
293,39.113594,-1.907157,12
294,-38.634422,21.09336,3
295,-53.249027,4.9991517,10
296,-2.7679424,58.028545,2
297,-30.858902,14.830882,3
298,-36.034557,9.685191,3
299,-24.478773,-1.1684985,3
300,-40.09644,34.4098,11
301,-35.876034,23.47581,11
302,25.475607,-50.206085,0
303,-44.21874,10.27397,3
304,40.476833,-16.094746,0
305,12.865279,-14.577029,8
306,-38.662086,22.869186,11
307,50.991642,-45.565826,5
308,41.745125,-18.869747,5
309,-36.85966,39.504185,11
310,0.7853235,2.7287207,6
311,32.051395,-34.265945,0
312,20.150103,36.399887,14
313,-23.627844,-3.8487718,3
314,1.1894627,-29.097925,8
315,-4.970324,-30.203257,8
316,40.607285,-41.81429,5
317,-43.161983,-8.357882,10
318,-12.91673,-20.976395,9
319,-7.1797276,-23.36356,8
320,2.2110221,-54.030293,5
321,-0.89372015,14.553213,5
322,-7.5691223,-49.93171,4
323,-28.870409,-21.911858,11
324,-10.355002,11.882133,11
325,2.4474738,-6.581902,5
326,10.840675,11.116615,5
327,41.556107,-42.8227,5
328,26.94994,8.688835,13
329,-12.791931,-3.816367,7
330,-52.74927,15.63302,10
331,-20.045168,-31.350697,9
332,-47.31922,38.39718,11
333,25.126865,-21.514471,5
334,-29.91365,24.389717,11
335,-45.369633,20.403502,11
336,10.906215,16.436224,5
337,-17.706234,45.4129,13
338,1.4024422,-40.23181,4
339,22.622337,-41.543743,0
340,-48.70908,-1.6086464,10
341,31.285519,-43.54342,0
342,23.924213,-2.8093247,12
343,-38.282616,6.078611,5
344,16.528608,-39.749817,0
345,28.780716,-8.525834,5
346,33.743683,-36.05979,0
