country,Deaths
USA,90353.0
United Kingdom,34876.0
Italy,32007.0
France,28242.0
Spain,27709.0
Brazil,16853.0
Belgium,9080.0
Germany,8003.0
Iran,7057.0
Canada,5960.0
Netherlands,5713.0
Mexico,5332.0
China,4638.0
Turkey,4171.0
Sweden,3698.0
India,3156.0
Ecuador,2799.0
Peru,2789.0
Russia,2722.0
Switzerland,1886.0
Ireland,1547.0
Portugal,1231.0
Indonesia,1191.0
Romania,1120.0
others,16394.0
