Entity,Code,Date,Total confirmed cases of COVID-19 per million people (cases per million)
Jamaica,JAM,"Apr 15, 2020",35.45906487354115
Jamaica,JAM,"Apr 16, 2020",42.21317246850137
Jamaica,JAM,"Apr 17, 2020",48.29186930396557
Jamaica,JAM,"Apr 18, 2020",55.04597689892579
Jamaica,JAM,"Apr 19, 2020",58.4230306964059
Jamaica,JAM,"Apr 20, 2020",66.19025443061015
Jamaica,JAM,"Apr 21, 2020",75.30829968380645
Jamaica,JAM,"Apr 22, 2020",78.68535348128655
Japan,JPN,"Dec 31, 2019",0
Japan,JPN,"Jan 1, 2020",0
Japan,JPN,"Jan 2, 2020",0
Japan,JPN,"Jan 3, 2020",0
Japan,JPN,"Jan 4, 2020",0
Japan,JPN,"Jan 5, 2020",0
Japan,JPN,"Jan 6, 2020",0
Japan,JPN,"Jan 7, 2020",0
Japan,JPN,"Jan 8, 2020",0
Japan,JPN,"Jan 9, 2020",0
Japan,JPN,"Jan 10, 2020",0
Japan,JPN,"Jan 11, 2020",0
Japan,JPN,"Jan 12, 2020",0
Japan,JPN,"Jan 13, 2020",0
Japan,JPN,"Jan 14, 2020",0
Japan,JPN,"Jan 15, 2020",0.007906609781877351
Japan,JPN,"Jan 16, 2020",0.007906609781877351
Japan,JPN,"Jan 17, 2020",0.007906609781877351
Japan,JPN,"Jan 18, 2020",0.007906609781877351
Japan,JPN,"Jan 19, 2020",0.007906609781877351
Japan,JPN,"Jan 20, 2020",0.007906609781877351
Japan,JPN,"Jan 21, 2020",0.007906609781877351
Japan,JPN,"Jan 22, 2020",0.007906609781877351
Japan,JPN,"Jan 23, 2020",0.007906609781877351
Japan,JPN,"Jan 24, 2020",0.015813219563754703
Japan,JPN,"Jan 25, 2020",0.015813219563754703
Japan,JPN,"Jan 26, 2020",0.023719829345632056
Japan,JPN,"Jan 27, 2020",0.023719829345632056
Japan,JPN,"Jan 28, 2020",0.031626439127509405
Japan,JPN,"Jan 29, 2020",0.05534626847314146
Japan,JPN,"Jan 30, 2020",0.08697270760065087
Japan,JPN,"Jan 31, 2020",0.11069253694628292
Japan,JPN,"Feb 1, 2020",0.11859914672816027
Japan,JPN,"Feb 2, 2020",0.1502255858556697
Japan,JPN,"Feb 3, 2020",0.15813219563754705
Japan,JPN,"Feb 4, 2020",0.15813219563754705
Japan,JPN,"Feb 5, 2020",0.1976652445469338
Japan,JPN,"Feb 6, 2020",0.1976652445469338
Japan,JPN,"Feb 7, 2020",0.1976652445469338
Japan,JPN,"Feb 8, 2020",0.1976652445469338
Japan,JPN,"Feb 9, 2020",0.1976652445469338
Japan,JPN,"Feb 10, 2020",0.1976652445469338
Japan,JPN,"Feb 11, 2020",0.1976652445469338
Japan,JPN,"Feb 12, 2020",0.1976652445469338
Japan,JPN,"Feb 13, 2020",0.2292916836744432
Japan,JPN,"Feb 14, 2020",0.23719829345632054
Japan,JPN,"Feb 15, 2020",0.3004511717113394
Japan,JPN,"Feb 16, 2020",0.4111437086576223
Japan,JPN,"Feb 17, 2020",0.46648997713076373
Japan,JPN,"Feb 18, 2020",0.46648997713076373
Japan,JPN,"Feb 19, 2020",0.5218362456039052
Japan,JPN,"Feb 20, 2020",0.6641552216776976
Japan,JPN,"Feb 21, 2020",0.7353147097145937
Japan,JPN,"Feb 22, 2020",0.830194027097122
Japan,JPN,"Feb 23, 2020",1.0436724912078104
Japan,JPN,"Feb 24, 2020",1.1385518085903386
Japan,JPN,"Feb 25, 2020",1.1385518085903386
Japan,JPN,"Feb 26, 2020",1.2966840042278858
Japan,JPN,"Feb 27, 2020",1.4706294194291873
Japan,JPN,"Feb 28, 2020",1.660388054194244
Japan,JPN,"Feb 29, 2020",1.818520249831791
Japan,JPN,"Mar 1, 2020",1.8896797378686871
Japan,JPN,"Mar 2, 2020",2.0082788845968476
Japan,JPN,"Mar 3, 2020",2.0082788845968476
Japan,JPN,"Mar 4, 2020",2.1189714215431303
Japan,JPN,"Mar 5, 2020",2.5063953008551207
Japan,JPN,"Mar 6, 2020",2.759406813875196
Japan,JPN,"Mar 7, 2020",3.2258967910059595
Japan,JPN,"Mar 8, 2020",3.597507450754195
Japan,JPN,"Mar 9, 2020",3.858425573556148
Japan,JPN,"Mar 10, 2020",4.063997427884959
Japan,JPN,"Mar 11, 2020",4.490954356106336
Japan,JPN,"Mar 12, 2020",4.894191454982081
Japan,JPN,"Mar 13, 2020",5.336961602767213
Japan,JPN,"Mar 14, 2020",5.827171409243609
Japan,JPN,"Mar 15, 2020",6.167155629864334
Japan,JPN,"Mar 16, 2020",6.435980362448165
Japan,JPN,"Mar 17, 2020",6.515046460266938
Japan,JPN,"Mar 18, 2020",6.554579509176325
Japan,JPN,"Mar 19, 2020",6.902470339578928
Japan,JPN,"Mar 20, 2020",7.511279292783485
Japan,JPN,"Mar 21, 2020",7.961956050350493
Japan,JPN,"Mar 22, 2020",8.27031383184371
Japan,JPN,"Mar 23, 2020",8.610298052464437
Japan,JPN,"Mar 24, 2020",8.918655833957652
Japan,JPN,"Mar 25, 2020",9.432585469779681
Japan,JPN,"Mar 26, 2020",10.025581203420483
Japan,JPN,"Mar 27, 2020",10.784615742480709
Japan,JPN,"Mar 28, 2020",11.85200806303415
Japan,JPN,"Mar 29, 2020",13.385890360718356
Japan,JPN,"Mar 30, 2020",14.753733852983139
Japan,JPN,"Mar 31, 2020",15.441608904006468
Japan,JPN,"Apr 1, 2020",15.441608904006468
Japan,JPN,"Apr 2, 2020",17.220596104928873
Japan,JPN,"Apr 3, 2020",20.691597799173028
Japan,JPN,"Apr 4, 2020",23.205899709810026
Japan,JPN,"Apr 5, 2020",25.862520596520817
Japan,JPN,"Apr 6, 2020",28.890752142979842
Japan,JPN,"Apr 7, 2020",30.179529537425854
Japan,JPN,"Apr 8, 2020",30.883217808012937
Japan,JPN,"Apr 9, 2020",33.658437841451885
Japan,JPN,"Apr 10, 2020",36.900147852021604
Japan,JPN,"Apr 11, 2020",42.2766425036982
Japan,JPN,"Apr 12, 2020",53.35380280810837
Japan,JPN,"Apr 13, 2020",57.36245396752019
Japan,JPN,"Apr 14, 2020",60.44603178245235
Japan,JPN,"Apr 15, 2020",64.04353923320654
Japan,JPN,"Apr 16, 2020",67.85452514807143
Japan,JPN,"Apr 17, 2020",72.47989187046969
Japan,JPN,"Apr 18, 2020",77.44524281348866
Japan,JPN,"Apr 19, 2020",81.92038395003124
Japan,JPN,"Apr 20, 2020",85.0039617649634
